Spanish,English
el,he
de,of
que,that
y,and
en,in
a,to
no,No
se,HE
es,is
por,by
un,a
para,for
con,with
una,a
los,the
las,the
su,his
al,to the
lo,it
como,how
más,further
pero,but
sus,their
tu,you
ya,already
o,either
fue,was
ha,ha
me,I
si,Yeah
son,are
aquí,here
está,this
del,of the
ser,be
este,this
muy,very
todo,all
nos,us
bien,good
así,in this/that way
hasta,until
dos,two
también,also
entre,between
era,was
después,after
siempre,always
sobre,about
mi,my
porque,because
esa,that
tan,so
estar,be
haber,to have
qué,that
otro,other
quien,who
todos,all
ni,neither
nada,nothing
eso,that
sí,Yeah
cuando,when
mucho,a lot
vida,life
uno,one
donde,where
mismo,same
yo,I
ahora,now
día,day
tiempo,time
año,year
antes,before
primero,first
él,he
te,tea
otros,others